"","year","brood","offspring","rank","dam","sire","pair","valid_cross","dam.type","sire.type","hothiphop.parents","hiphop","hot.parents","hot.dam","hot.sire","hothiphop.dam","hothiphop.sire","below.threshold","threshold","loci.dyad.dam","loci.dyad.sire","loci.triad","offspring.heterozygosity","social.mother.sampled","social.father.sampled","social.mother","social.father","condition","ranking","ranking2"
"110",2015,"Test_F1","SAR_15_6737",2,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",362,260,102,74,78,334,338,1,99999,3026,4919,3006,0.381581581581582,0,0,NA,NA,"none","hothiphop.parents","none"
"111",2015,"Test_F1","SAR_15_6737",3,"SAR_15_6508","SAR_15_6427","SAR_15_6427_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",378,295,83,74,29,369,324,1,99999,3026,4973,3019,0.381581581581582,0,0,NA,NA,"none","hothiphop.parents","none"
"112",2015,"Test_F1","SAR_15_6738",1,"SAR_15_6403","SAR_15_6413","SAR_15_6403_SAR_15_6413",TRUE,"within-group subordinate","within-group subordinate",171,102,69,44,27,146,129,1,99999,4927,4984,4899,0.330740075802912,0,0,NA,NA,"none","hothiphop.parents","none"
"113",2015,"Test_F1","SAR_15_6738",2,"SAR_15_6508","SAR_15_6413","SAR_15_6413_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",335,224,111,104,27,328,251,1,99999,3028,4984,3020,0.330740075802912,0,0,NA,NA,"none","hothiphop.parents","none"
"114",2015,"Test_F1","SAR_15_6738",3,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",360,229,131,104,87,333,316,1,99999,3028,4938,3009,0.330740075802912,0,0,NA,NA,"none","hothiphop.parents","none"
"115",2015,"Test_F1","SAR_15_6739",1,"SAR_15_6431","SAR_15_6447","SAR_15_6431_SAR_15_6447",TRUE,"within-group subordinate","within-group subordinate",155,107,48,18,31,125,138,1,99999,4978,5002,4969,0.345839153861505,0,0,NA,NA,"none","hothiphop.parents","none"
"116",2015,"Test_F1","SAR_15_6739",2,"SAR_15_6431","SAR_15_6401","SAR_15_6401_SAR_15_6431",FALSE,"within-group subordinate","within-group subordinate",341,252,89,18,80,270,332,1,99999,4978,4935,4904,0.345839153861505,0,0,NA,NA,"none","hothiphop.parents","none"
"117",2015,"Test_F1","SAR_15_6739",3,"SAR_15_6508","SAR_15_6447","SAR_15_6447_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",390,255,135,127,31,382,286,1,99999,3030,5002,3027,0.345839153861505,0,0,NA,NA,"none","hothiphop.parents","none"
"118",2015,"Test_F1","SAR_15_6740",1,"SAR_15_6454","SAR_15_6473","SAR_15_6454_SAR_15_6473",TRUE,"within-group subordinate","within-group subordinate",122,66,56,22,34,88,100,1,99999,4982,4979,4963,0.317326930772309,0,0,NA,NA,"none","hothiphop.parents","none"
"119",2015,"Test_F1","SAR_15_6740",2,"SAR_15_6508","SAR_15_6473","SAR_15_6473_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",317,189,128,119,34,308,223,1,99999,3025,4979,3019,0.317326930772309,0,0,NA,NA,"none","hothiphop.parents","none"
