"nloci","wild_samp","missing_data","generation","TP","FP","n_assignments"
5000,1,0.05,"f2",4000,0,4000
10000,1,0.05,"f2",4000,0,4000
100,0.2,0.1,"f2",276,3875,4151
500,0.2,0.1,"f2",320,1,321
1000,0.2,0.1,"f2",334,0,334
5000,0.2,0.1,"f2",290,0,290
10000,0.2,0.1,"f2",345,0,345
100,0.4,0.1,"f2",601,8639,9240
500,0.4,0.1,"f2",895,6,901
1000,0.4,0.1,"f2",880,0,880
5000,0.4,0.1,"f2",832,0,832
10000,0.4,0.1,"f2",887,0,887
100,0.6,0.1,"f2",801,12359,13160
500,0.6,0.1,"f2",1666,17,1683
1000,0.6,0.1,"f2",1714,0,1714
5000,0.6,0.1,"f2",1620,0,1620
10000,0.6,0.1,"f2",1690,0,1690
100,0.8,0.1,"f2",996,16084,17080
500,0.8,0.1,"f2",2744,33,2777
1000,0.8,0.1,"f2",2745,1,2746
5000,0.8,0.1,"f2",2674,0,2674
10000,0.8,0.1,"f2",2715,0,2715
100,1,0.1,"f2",1263,19737,21000
500,1,0.1,"f2",3993,28,4021
1000,1,0.1,"f2",4000,0,4000
5000,1,0.1,"f2",4000,0,4000
10000,1,0.1,"f2",4000,0,4000
100,0.2,0.25,"f2",177,5143,5320
500,0.2,0.25,"f2",317,13,330
1000,0.2,0.25,"f2",334,0,334
5000,0.2,0.25,"f2",290,0,290
10000,0.2,0.25,"f2",345,0,345
100,0.4,0.25,"f2",306,8934,9240
500,0.4,0.25,"f2",886,50,936
1000,0.4,0.25,"f2",880,1,881
5000,0.4,0.25,"f2",832,0,832
10000,0.4,0.25,"f2",887,0,887
100,0.6,0.25,"f2",456,12704,13160
500,0.6,0.25,"f2",1646,96,1742
1000,0.6,0.25,"f2",1711,4,1715
5000,0.6,0.25,"f2",1620,0,1620
10000,0.6,0.25,"f2",1690,0,1690
100,0.8,0.25,"f2",609,16471,17080
500,0.8,0.25,"f2",2708,132,2840
1000,0.8,0.25,"f2",2745,4,2749
5000,0.8,0.25,"f2",2674,0,2674
10000,0.8,0.25,"f2",2715,0,2715
100,1,0.25,"f2",769,20231,21000
500,1,0.25,"f2",3936,206,4142
1000,1,0.25,"f2",3998,3,4001
5000,1,0.25,"f2",4000,0,4000
10000,1,0.25,"f2",4000,0,4000
100,0.2,0.5,"f2",NA,NA,NA
500,0.2,0.5,"f2",NA,NA,NA
1000,0.2,0.5,"f2",NA,NA,NA
5000,0.2,0.5,"f2",NA,NA,NA
10000,0.2,0.5,"f2",NA,NA,NA
100,0.4,0.5,"f2",NA,NA,NA
500,0.4,0.5,"f2",NA,NA,NA
1000,0.4,0.5,"f2",NA,NA,NA
5000,0.4,0.5,"f2",NA,NA,NA
10000,0.4,0.5,"f2",NA,NA,NA
100,0.6,0.5,"f2",NA,NA,NA
500,0.6,0.5,"f2",NA,NA,NA
1000,0.6,0.5,"f2",NA,NA,NA
